정류장번호,정류장명,위도,경도,도시명,reason,detail
GGB163000280,삼영아파트,37.4483333,126.6907167,인천광역시,outside_region,contained:인천광역시
GGB168001062,삼영테크,37.5968,126.6192167,인천광역시,outside_region,contained:인천광역시
GGB168001055,삼영테크,37.5967667,126.6189,인천광역시,outside_region,contained:인천광역시
GGB165000247,삼익.광명아파트,37.4422167,126.73855,인천광역시,outside_region,contained:인천광역시
GGB165000249,삼익.광명아파트,37.4422833,126.7388833,인천광역시,outside_region,contained:인천광역시
GGB161000136,삼익아파트,37.4639833,126.63305,인천광역시,outside_region,contained:인천광역시
GGB168000443,삼정프라자,37.5938333,126.6965833,인천광역시,outside_region,contained:인천광역시
GGB256500010,삼척종합버스터미널,37.4402667,129.1691667,강원특별자치도 삼척시,outside_region,contained:강원특별자치도
GGB165001018,삼천리기계,37.3929667,126.6892667,인천광역시,outside_region,contained:인천광역시
GGB165001017,삼천리기계,37.3931833,126.6889167,인천광역시,outside_region,contained:인천광역시
GGB165000940,삼호제강2공장,37.3866833,126.6980667,인천광역시,outside_region,contained:인천광역시
GGB165000939,삼호제강2공장,37.38625,126.6981833,인천광역시,outside_region,contained:인천광역시
GGB164000063,삼환아파트,37.40465,126.6776667,인천광역시,outside_region,contained:인천광역시
GGB165000296,삼환아파트,37.4481667,126.7331833,인천광역시,outside_region,contained:인천광역시
GGB165000299,삼환아파트,37.4485,126.7329,인천광역시,outside_region,contained:인천광역시
GGB165000316,삼환아파트,37.4490833,126.7343667,인천광역시,outside_region,contained:인천광역시
GGB165000328,삼환아파트,37.4497333,126.73435,인천광역시,outside_region,contained:인천광역시
GGB300500100,삽교호버스터미널,36.8885,126.8249,충청남도 당진시,outside_region,contained:충청남도
GGB277102892,상관IC(미정차),35.7588833,127.21905,전라북도 완주군,outside_region,far
GGB277102891,상관IC(미정차),35.7590667,127.2186,전라북도 완주군,outside_region,far
GGB262500580,상노1리,38.1636,127.2428667,강원특별자치도 철원군,outside_region,contained:강원특별자치도
GGB262500590,상노1리,38.16365,127.2430667,강원특별자치도 철원군,outside_region,contained:강원특별자치도
GGB167000436,상야동,37.5796167,126.7791667,인천광역시,outside_region,contained:인천광역시
GGB167000437,상야동,37.5797333,126.7797,인천광역시,outside_region,contained:인천광역시
GGB166000069,상정고,37.48075,126.6987167,인천광역시,outside_region,contained:인천광역시
GGB166000070,상정고,37.48095,126.69845,인천광역시,outside_region,contained:인천광역시
GGB166000059,상정중학교,37.4788833,126.6951667,인천광역시,outside_region,contained:인천광역시
GGB277101381,상주IC(미정차),36.4232,128.2130167,경상북도 상주시,outside_region,far
GGB277101382,상주IC(미정차),36.4229833,128.2133333,경상북도 상주시,outside_region,far
GGB277103954,상주JC(미정차),36.37435,128.2746,경상북도 상주시,outside_region,far
GGB277103953,상주JC(미정차),36.3745667,128.2747167,경상북도 상주시,outside_region,far
GGB358500080,상주종합터미널,36.4191,128.1521667,경상북도 상주시,outside_region,far
GGB282500080,상진리,36.97755,128.3559167,충청북도 단양군,outside_region,contained:충청북도
GGB282500100,상진리,36.97695,128.3565333,충청북도 단양군,outside_region,contained:충청북도
GGB166000131,새마을금고,37.485,126.7215667,인천광역시,outside_region,contained:인천광역시
GGB166000125,새마을금고,37.4847833,126.7210333,인천광역시,outside_region,contained:인천광역시
GGB277101285,새말IC(미정차),37.4466,128.0667333,강원특별자치도 횡성군,outside_region,contained:강원특별자치도
GGB277101286,새말IC(미정차),37.4467167,128.06745,강원특별자치도 횡성군,outside_region,contained:강원특별자치도
GGB163000255,새안의원,37.4519333,126.6731833,인천광역시,outside_region,contained:인천광역시
GGB163000256,새안의원,37.4515833,126.6739667,인천광역시,outside_region,contained:인천광역시
GGB168001518,샘내들교,37.5403667,126.66575,인천광역시,outside_region,contained:인천광역시
GGB168001519,샘내들교,37.5401667,126.6647167,인천광역시,outside_region,contained:인천광역시
