stop_key,name,name_norm,name_key,aliases,lat,lon,sido_cd,sido_nm,sgg_cd,sgg_nm,region_method,snap_dist_m,source_ids,rep_source,ars_nos,merge_status,twin_dist_m,is_virtual,raw_city_label
233003174,반도10차,반도10차,반도10차,,37.1664167,127.1271667,41,경기도,41590,화성시,contain,,GGB233003174,GGB,55701,single,,0,경기도 화성시
233003175,갈담초교입구,갈담초교입구,갈담초교입구,,37.1730000,126.9333000,41,경기도,41590,화성시,contain,,GGB233003175,GGB,55707,single,,0,경기도 화성시
233003176,갈담초교입구,갈담초교입구,갈담초교입구,,37.1728833,126.9335000,41,경기도,41590,화성시,contain,,GGB233003176,GGB,55708,single,,0,경기도 화성시
233003177,기산아파트입구,기산아파트입구,기산아파트입구,,37.1750333,126.9352500,41,경기도,41590,화성시,contain,,GGB233003177,GGB,55709,single,,0,경기도 화성시
233003178,기산아파트입구,기산아파트입구,기산아파트입구,,37.1755000,126.9352333,41,경기도,41590,화성시,contain,,GGB233003178,GGB,55710,single,,0,경기도 화성시
233003179,덕우공단입구,덕우공단입구,덕우공단입구,,37.1608000,126.9158000,41,경기도,41590,화성시,contain,,GGB233003179,GGB,55711,single,,0,경기도 화성시
233003180,덕우공단입구,덕우공단입구,덕우공단입구,,37.1608500,126.9156833,41,경기도,41590,화성시,contain,,GGB233003180,GGB,55712,single,,0,경기도 화성시
233003181,소동촌,소동촌,소동촌,,37.1607667,126.9079500,41,경기도,41590,화성시,contain,,GGB233003181,GGB,55713,single,,0,경기도 화성시
233003182,청호인재개발원,청호인재개발원,청호인재개발원,,37.1614833,126.9119000,41,경기도,41590,화성시,contain,,GGB233003182,GGB,55714,single,,0,경기도 화성시
233003183,청호인재개발원,청호인재개발원,청호인재개발원,,37.1616000,126.9119333,41,경기도,41590,화성시,contain,,GGB233003183,GGB,55715,single,,0,경기도 화성시
233003184,신미주SK뷰,신미주SK뷰,신미주sk뷰,,37.2153500,127.0523167,41,경기도,41590,화성시,contain,,GGB233003184,GGB,55723,single,,0,경기도 화성시
233003185,상신2리입구,상신2리입구,상신2리입구,,37.0985500,126.9024000,41,경기도,41590,화성시,contain,,GGB233003185,GGB,37810,single,,0,경기도 화성시
233003186,우미제일.전하리교회,우미제일.전하리교회,우미제일전하리교회,,37.2121333,127.0793833,41,경기도,41590,화성시,contain,,GGB233003186,GGB,37760,single,,0,경기도 화성시
233003187,동탄아테라파밀리에,동탄아테라파밀리에,동탄아테라파밀리에,,37.1835333,127.1329667,41,경기도,41590,화성시,contain,,GGB233003187,GGB,55956,single,,0,
