chain_id,chain_name,line_group,line_raw,loop,seq,station_id,phys_id,name,lat,lon,status,source,src_no,src_name
seoul1,수도권 광역철도 1호선,1호선,1호선,0,2,seoul1-0125,seoul1-0125,제기동,37.5781160,127.0349020,db,comp,125,제기동
seoul1,수도권 광역철도 1호선,1호선,1호선,0,3,seoul1-0126,seoul1-0126,신설동,37.5761170,127.0247100,db,comp,126,신설동
seoul1,수도권 광역철도 1호선,1호선,1호선,0,4,seoul1-0127,seoul1-0127,동묘앞,37.5732650,127.0164590,db,comp,127,동묘앞
seoul1,수도권 광역철도 1호선,1호선,1호선,0,5,seoul1-0128,seoul1-0128,동대문,37.5716460,127.0106900,db,comp,128,동대문
seoul1,수도권 광역철도 1호선,1호선,1호선,0,6,seoul1-0129,seoul1-0129,종로5가,37.5709710,127.0019000,db,comp,129,종로5가
seoul1,수도권 광역철도 1호선,1호선,1호선,0,7,seoul1-0130,seoul1-0130,종로3가,37.5704290,126.9920950,db,comp,130,종로3가
seoul1,수도권 광역철도 1호선,1호선,1호선,0,8,seoul1-0131,seoul1-0131,종각,37.5702030,126.9831160,db,comp,131,종각
seoul1,수도권 광역철도 1호선,1호선,1호선,0,9,seoul1-0132,seoul1-0132,시청,37.5652110,126.9772070,db,comp,132,시청
seoul1,수도권 광역철도 1호선,1호선,1호선,0,10,seoul1-0133,gyeongui-1251,서울역,37.5558500,126.9721030,db,comp,133,서울역
seoul2,수도권 도시철도 2호선,2호선,2호선,1,1,seoul2-0201,seoul1-0132,시청,37.5635340,126.9752710,db,comp,201,시청
seoul2,수도권 도시철도 2호선,2호선,2호선,1,2,seoul2-0202,seoul2-0202,을지로입구,37.5659980,126.9825690,db,comp,202,을지로입구
seoul2,수도권 도시철도 2호선,2호선,2호선,1,3,seoul2-0203,seoul2-0203,을지로3가,37.5662920,126.9908730,db,comp,203,을지로3가
seoul2,수도권 도시철도 2호선,2호선,2호선,1,4,seoul2-0204,seoul2-0204,을지로4가,37.5666110,126.9976220,db,comp,204,을지로4가
seoul2,수도권 도시철도 2호선,2호선,2호선,1,5,seoul2-0205,seoul2-0205,동대문역사문화공원(DDP),37.5656090,127.0090830,db,comp,205,동대문역사문화공원
seoul2,수도권 도시철도 2호선,2호선,2호선,1,6,seoul2-0206,seoul2-0206,신당,37.5656750,127.0194259,db,comp,206,신당
seoul2,수도권 도시철도 2호선,2호선,2호선,1,7,seoul2-0207,seoul2-0207,상왕십리,37.5644440,127.0293220,db,comp,207,상왕십리
seoul2,수도권 도시철도 2호선,2호선,2호선,1,8,seoul2-0208,bundang-1013,왕십리(성동구청),37.5612890,127.0370615,db,comp,208,왕십리
seoul2,수도권 도시철도 2호선,2호선,2호선,1,9,seoul2-0209,seoul2-0209,한양대,37.5557580,127.0436594,db,comp,209,한양대
seoul2,수도권 도시철도 2호선,2호선,2호선,1,10,seoul2-0210,seoul2-0210,뚝섬,37.5471800,127.0474130,db,comp,210,뚝섬
seoul2,수도권 도시철도 2호선,2호선,2호선,1,11,seoul2-0211,seoul2-0211,성수,37.5446280,127.0559830,db,comp,211,성수
seoul2,수도권 도시철도 2호선,2호선,2호선,1,12,seoul2-0212,seoul2-0212,건대입구,37.5404080,127.0692310,db,comp,212,건대입구
seoul2,수도권 도시철도 2호선,2호선,2호선,1,13,seoul2-0213,seoul2-0213,구의(광진구청),37.5371570,127.0862124,db,comp,213,구의(광진구청)
seoul2,수도권 도시철도 2호선,2호선,2호선,1,14,seoul2-0214,seoul2-0214,강변(동서울터미널),37.5351610,127.0946840,db,comp,214,강변(동서울터미널)
seoul2,수도권 도시철도 2호선,2호선,2호선,1,15,seoul2-0215,seoul2-0215,잠실나루,37.5206880,127.1038360,db,comp,215,잠실나루
seoul2,수도권 도시철도 2호선,2호선,2호선,1,16,seoul2-0216,seoul2-0216,잠실(송파구청),37.5133050,127.1001290,db,comp,216,잠실(송파구청)
seoul2,수도권 도시철도 2호선,2호선,2호선,1,17,seoul2-0217,seoul2-0217,잠실새내,37.5116530,127.0862240,db,comp,217,잠실새내
seoul2,수도권 도시철도 2호선,2호선,2호선,1,18,seoul2-0218,metro9-4130,종합운동장,37.5111280,127.0738410,db,comp,218,종합운동장
seoul2,수도권 도시철도 2호선,2호선,2호선,1,19,seoul2-0219,seoul2-0219,삼성(무역센터),37.5088270,127.0632030,db,comp,219,삼성(무역센터)
seoul2,수도권 도시철도 2호선,2호선,2호선,1,20,seoul2-0220,bundang-1023,선릉,37.5042570,127.0481740,db,comp,220,선릉
seoul2,수도권 도시철도 2호선,2호선,2호선,1,21,seoul2-0221,seoul2-0221,역삼,37.5006580,127.0364300,db,comp,221,역삼
seoul2,수도권 도시철도 2호선,2호선,2호선,1,22,seoul2-0222,seoul2-0222,강남,37.4980500,127.0279500,db,comp,222,강남
